id,value
id_0,19.0211780438
id_1,49.8919500144
id_2,14.7035104975
id_3,21.752155091
id_4,5.30596828627
id_5,24.8958422223
id_6,32.4468115732
id_7,12.7778008679
id_8,40.091554324
id_9,25.2368472162
id_10,29.6067070177
id_11,44.8193819258
id_12,26.8768580131
id_13,32.3573291474
id_14,19.4404574954
id_15,8.23577066417
id_16,38.9592116047
id_17,16.3989137672
id_18,12.7939197774
id_19,13.5974409551
id_20,11.7030995892
id_21,23.634220063
id_22,27.9099926361
id_23,4.93399084764
id_24,47.6561714719
id_25,36.1906616108
id_26,19.3146886697
id_27,5.81551883747
id_28,22.4139077658
id_29,28.8280490395
id_30,13.819635794
id_31,8.18619765296
id_32,12.1936959831
id_33,3.62896085613
id_34,12.4542701534
id_35,32.8667235014
id_36,13.7840014738
id_37,21.7474214911
id_38,8.04846475302
id_39,47.9545404466
id_40,36.1268012856
id_41,13.3148711616
id_42,40.3674027833
id_43,14.1619162427
id_44,33.6903260969
id_45,38.9322559964
id_46,45.883854677
id_47,31.6644265804
id_48,42.5826641544
id_49,29.0071934819
id_50,22.5490646336
id_51,18.623283274
id_52,30.2235160647
id_53,18.5182863027
id_54,30.4060229754
id_55,31.5084559529
id_56,18.8873108484
id_57,16.6303946518
id_58,28.9652143366
id_59,23.7002545887
id_60,10.1599644687
id_61,16.8855514385
id_62,25.0828428711
id_63,41.8967738601
id_64,38.7884422894
id_65,20.5599726986
id_66,28.7100496723
id_67,40.7614647383
id_68,22.8309067616
id_69,28.3658208182
id_70,50.4960279694
id_71,42.6619584172
id_72,33.4669723959
id_73,8.09919021151
id_74,9.72795740339
id_75,26.2465530851
id_76,49.5962040851
id_77,0.272428783595
id_78,32.5106852023
id_79,30.5008282958
id_80,5.82156859094
id_81,16.8224050928
id_82,4.02384849861
id_83,24.2026053422
id_84,4.90273483458
id_85,4.17886267238
id_86,12.5836692513
id_87,8.75227360722
id_88,15.1873621174
id_89,19.8033890456
id_90,25.1947604512
id_91,8.83404382469
id_92,10.5784689591
id_93,4.51525658148
id_94,31.1647878497
id_95,11.0356331637
id_96,12.7319268957
id_97,6.88821534872
id_98,8.97123904293
id_99,2.89489579365
id_100,8.05179408864
id_101,15.11250445
id_102,9.20506261516
id_103,6.60228203244
id_104,10.0486654154
id_105,28.4815429986
id_106,20.2328321981
id_107,4.90596203927
id_108,12.2322756887
id_109,11.9185154403
id_110,9.52280389115
id_111,13.2068351823
id_112,11.8135299638
id_113,20.9648433612
id_114,15.9382727485
id_115,12.1021670806
id_116,6.00779995734
id_117,35.2735083859
id_118,20.0893465998
id_119,0.298447580593
id_120,0.587776301986
id_121,6.98999137512
id_122,10.4148659116
id_123,10.1819112892
id_124,5.8186323431
id_125,20.413469668
id_126,14.3726458001
id_127,8.59269517634
id_128,14.5784522195
id_129,12.9605171691
id_130,2.2444728467
id_131,25.2259926387
id_132,10.6210309439
id_133,19.291519327
id_134,18.5374276278
id_135,16.3605055841
id_136,7.35520244235
id_137,14.6098564723
id_138,58.6328147602
id_139,47.4747433749
id_140,21.2560438665
id_141,12.7095889917
id_142,17.9889347154
id_143,5.62987180607
id_144,9.2194779281
id_145,6.96389190015
id_146,14.6075395736
id_147,6.65388748972
id_148,10.1993715249
id_149,12.2034879098
id_150,35.4614826008
id_151,16.8715648083
id_152,18.4904729107
id_153,10.27443799
id_154,11.5353711515
id_155,19.0638723807
id_156,17.9815420749
id_157,26.7373951881
id_158,2.87370509307
id_159,16.6236721137
id_160,33.6446797644
id_161,14.5152745583
id_162,45.1737728578
id_163,13.4421381049
id_164,26.3903787272
id_165,19.4297220739
id_166,16.1551488397
id_167,0.875134132592
id_168,51.4496317731
id_169,13.2727020357
id_170,12.7858736877
id_171,53.4540367808
id_172,16.3498707469
id_173,1.36841363834
id_174,20.0856782057
id_175,1.23159181246
id_176,4.60307828367
id_177,14.9194750524
id_178,16.5580826735
id_179,17.4402270171
id_180,34.0288984914
id_181,21.6021631238
id_182,21.6097137848
id_183,9.31811441668
id_184,4.37304057243
id_185,32.3008516946
id_186,28.1183491506
id_187,26.7295270444
id_188,11.7381269108
id_189,15.0164151298
id_190,11.0288804639
id_191,11.8360354808
id_192,24.2346413175
id_193,54.6486405524
id_194,21.5909884584
id_195,8.27942463995
id_196,48.6655846807
id_197,11.5042817274
id_198,13.9759935643
id_199,15.9092925896
id_200,98.6014725706
id_201,18.3832486876
id_202,44.4990320325
id_203,3.24772283071
id_204,47.6631596714
id_205,27.0864721394
id_206,11.3026036924
id_207,9.86654948871
id_208,50.4937012509
id_209,10.4189785181
id_210,27.4196736142
id_211,53.7204608949
id_212,14.9553344328
id_213,88.7649483962
id_214,30.8708669914
id_215,61.8440228293
id_216,72.9714306501
id_217,54.22901894
id_218,23.6885811859
id_219,13.5281346737
id_220,22.962699478
id_221,45.3612780633
id_222,19.5428898123
id_223,29.0877051177
id_224,32.2863401237
id_225,6.98396711955
id_226,2.02596362674
id_227,65.6728997202
id_228,22.5654373692
id_229,0.193850025344
id_230,30.7060639886
id_231,11.3212544536
id_232,16.9527198865
id_233,4.69617958187
id_234,9.38834212461
id_235,16.7765828557
id_236,9.65916521691
id_237,1.01430927771
id_238,15.1589101815
id_239,7.17279799413
